ballc	wgbstools	dmpp_dedup	dmpp_bam
mCFrac	ENCFF790EEU.dedup	mean_meth	mean_meth
0.801126	0.801126	0.798020	0.791103
0.428899	0.428899	0.428910	0.430260
0.841886	0.842399	0.842776	0.848401
0.008322	0.008333	0.008547	0.007082
0.450085	0.450085	0.455516	0.464223
0.949206	0.950637	0.956155	0.957166
0.654275	0.651685	0.654275	0.655477
0.935000	0.935000	0.941489	0.941489
0.630705	0.629167	0.623913	0.626327
0.326316	0.326316	0.333333	0.343750
0.584507	0.585308	0.577500	0.584577
0.710963	0.712855	0.708754	0.716858
0.749206	0.749206	0.752475	0.748408
0.198413	0.200000	0.204918	0.204918
0.213650	0.213650	0.232787	0.233438
0.274306	0.275261	0.274725	0.278523
0.326531	0.326531	0.329670	0.347826
0.349265	0.351852	0.353728	0.352166
0.538136	0.545064	0.547826	0.557377
0.089965	0.089965	0.098485	0.106007
0.893782	0.893782	0.891534	0.894602
0.655271	0.657143	0.651786	0.642442
0.397004	0.397727	0.404669	0.402985
0.542169	0.543478	0.545906	0.550481
0.128571	0.129032	0.125954	0.129278
0.554717	0.553030	0.556452	0.559387
0.759375	0.758242	0.762144	0.763245
0.307692	0.307692	0.321357	0.323194
0.947507	0.943878	0.947507	0.946701
0.608541	0.608541	0.609319	0.597865
0.642697	0.643341	0.648148	0.659341
0.968338	0.968338	0.972067	0.968338
0.437705	0.433333	0.449301	0.424590
0.264026	0.265781	0.265993	0.269103
0.151408	0.151408	0.146474	0.166384
0.439430	0.443128	0.432763	0.430318
0.713555	0.712821	0.708333	0.703325
0.726486	0.727273	0.725597	0.732785
0.577982	0.576037	0.576037	0.574561
0.540404	0.545918	0.544041	0.528497
0.511737	0.512113	0.509695	0.500337
0.840047	0.840749	0.864799	0.861144
0.486842	0.486842	0.486842	0.461039
0.057320	0.056809	0.056439	0.056484
0.026758	0.026114	0.025822	0.024942
0.875000	0.875000	0.872340	0.854167
NA	NA	NA	NA
NA	NA	NA	NA
0.971429	0.971429	0.971429	0.973333
0.900709	0.903915	0.898496	0.896429
0.479339	0.477839	0.479491	0.485273
0.916300	0.916300	0.913636	0.913636
NA	NA	NA	NA
0.833333	0.833333	0.833333	0.833333
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
0.697802	0.697802	0.695291	0.700809
0.378641	0.378641	0.378641	0.392523
0.370079	0.370079	0.370079	0.389313
0.587963	0.589783	0.585366	0.587692
0.406780	0.405983	0.404255	0.420408
0.855746	0.857026	0.855746	0.856220
0.415789	0.414248	0.397059	0.397183
0.431280	0.430380	0.410774	0.402080
0.413793	0.415584	0.420354	0.418103
0.170259	0.167391	0.172646	0.166667
0.349169	0.348449	0.349127	0.338061
0.579618	0.579618	0.579618	0.575949
0.360465	0.360465	0.349398	0.335366
0.371747	0.372439	0.373494	0.368317
0.599496	0.595420	0.591623	0.594241
0.333333	0.334507	0.336957	0.340502
0.263158	0.262136	0.252475	0.253589
0.373333	0.373333	0.363636	0.369863
0.374613	0.374613	0.387097	0.366559
0.536842	0.535211	0.538732	0.544262
0.217213	0.217213	0.198198	0.203390
0.289377	0.290441	0.293893	0.288889
0.805861	0.804428	0.796875	0.799228
0.174960	0.175610	0.173986	0.176471
0.108761	0.108761	0.117264	0.117264
0.396419	0.393316	0.390836	0.398458
0.611486	0.611486	0.596429	0.600000
0.019048	0.019048	0.019417	0.019139
0.014563	0.009756	0.010309	0.010101
0.222874	0.220588	0.221538	0.218069
0.244332	0.244641	0.246396	0.239075
0.233803	0.235127	0.236686	0.234104
0.121212	0.121212	0.122995	0.122340
0.596330	0.594470	0.582888	0.578947
0.470085	0.470085	0.459091	0.462555
0.121387	0.121387	0.121212	0.116618
0.321965	0.320548	0.312317	0.313454
0.470000	0.470000	0.498182	0.494662
0.732558	0.732558	0.756098	0.754386
0.433249	0.431818	0.436508	0.432990
0.866894	0.869863	0.870849	0.885017
0.891960	0.891688	0.898667	0.897906
0.080524	0.079395	0.080153	0.080979
0.965116	0.964953	0.963768	0.957346
0.155452	0.157277	0.156627	0.156542
0.126761	0.127159	0.121359	0.124595
0.149272	0.149144	0.154746	0.155928
0.518919	0.517615	0.522099	0.534247
0.958692	0.958692	0.960714	0.958188
0.946479	0.946479	0.948276	0.945869
0.932489	0.932489	0.932432	0.932735
0.305609	0.307393	0.309572	0.316929
0.951872	0.951872	0.950820	0.956284
0.224820	0.226040	0.217472	0.216758
0.518456	0.519328	0.514286	0.495908
0.917570	0.917391	0.918033	0.912844
0.657787	0.657787	0.664516	0.657563
0.356877	0.356877	0.364865	0.359168
0.345070	0.343915	0.340580	0.342806
0.342059	0.340909	0.337522	0.339789
0.925773	0.925773	0.922737	0.919214
0.411924	0.411924	0.394813	0.375723
0.438961	0.439791	0.436997	0.446194
0.239401	0.236181	0.242105	0.245431
0.121212	0.122034	0.122378	0.132013
0.574534	0.570988	0.568627	0.579114
0.416422	0.418262	0.411674	0.419019
